month,intake-esm,jupyter-forward,ncar-jobqueue,ecgtools,xcollection,xpersist
2019-03,34,0,0,0,0,0
2019-04,118,0,0,0,0,0
2019-05,126,0,0,0,0,0
2019-06,109,0,0,0,0,0
2019-07,93,0,0,0,0,0
2019-08,200,0,0,0,0,0
2019-09,538,0,0,0,0,0
2019-10,275,0,0,0,0,0
2019-11,1543,0,0,0,0,0
2019-12,1262,0,0,0,0,0
2020-01,1389,0,0,0,0,0
2020-02,1429,0,0,0,0,0
2020-03,2005,0,0,0,0,0
2020-04,2130,0,0,0,0,0
2020-05,1724,0,0,0,0,0
2020-06,1965,0,0,0,0,0
2020-07,1489,0,0,0,0,0
2020-08,840,0,0,0,0,0
2020-09,792,0,0,0,0,0
2020-10,668,0,0,0,0,0
2020-11,1096,53,73,0,0,0
2020-12,1091,79,81,0,0,0
2021-01,1084,23,41,0,0,0
2021-02,3203,127,151,0,0,0
2021-03,2866,373,313,0,0,0
2021-04,2805,339,494,0,0,0
2021-05,2052,243,178,0,0,0
2021-06,3674,242,208,0,0,0
2021-07,3353,299,289,0,0,0
2021-08,2970,534,400,0,0,0
2021-09,2377,309,249,126,0,0
2021-10,2249,359,271,129,0,0
2021-11,2499,199,180,62,0,0
2021-12,2031,201,151,59,236,50
