month,ecgtools,intake-esm,jupyter-forward,ncar-jobqueue,xwrf,xcollection,xpersist
2019-02,0,327,0,0,0,0,0
2019-03,0,323,0,528,0,0,0
2019-04,0,293,0,184,0,0,0
2019-05,0,1210,0,220,0,0,0
2019-06,0,708,0,243,0,0,0
2019-07,0,707,0,201,0,0,0
2019-08,0,1511,0,707,0,0,0
2019-09,0,863,0,1188,0,0,0
2019-10,0,1291,0,1875,0,0,0
2019-11,0,952,0,700,0,0,0
2019-12,0,1245,0,732,0,0,0
2020-01,0,982,0,1778,0,0,0
2020-02,0,718,0,794,0,0,0
2020-03,0,2314,0,1417,0,0,0
2020-04,0,1267,0,959,0,0,0
2020-05,0,3742,0,817,0,0,0
2020-06,0,2318,0,762,0,0,0
2020-07,0,1389,0,720,0,0,0
2020-08,0,2122,0,1117,0,0,0
2020-09,0,1401,0,964,0,0,0
2020-10,0,1261,873,846,0,0,0
2020-11,0,1800,532,1230,0,0,0
2020-12,0,1552,709,1420,0,0,0
2021-01,0,1758,394,946,0,0,0
2021-02,0,1640,754,1717,0,0,0
2021-03,0,1757,1058,1314,0,0,0
2021-04,0,1324,825,1244,0,0,0
2021-05,0,1941,982,958,0,0,0
2021-06,599,1308,654,876,0,0,0
2021-07,342,1309,790,996,0,0,0
2021-08,229,1776,969,980,0,0,0
2021-09,794,1504,672,905,0,0,0
2021-10,341,1305,462,669,0,0,0
2021-11,431,1366,486,671,0,317,0
2021-12,353,1659,635,824,0,1758,587
2022-01,437,1701,997,768,0,715,286
2022-02,321,2090,1090,778,0,856,164
2022-03,672,3002,1815,1474,0,1210,260
2022-04,306,2105,1054,849,0,4614,4076
2022-05,0,15,6,8,0,19,0
