month,intake-esm,jupyter-forward,ncar-jobqueue,xwrf,xcollection
2019-02,327,0,0,0,0
2019-03,323,0,528,0,0
2019-04,293,0,184,0,0
2019-05,1210,0,220,0,0
2019-06,708,0,243,0,0
2019-07,707,0,201,0,0
2019-08,1511,0,707,0,0
2019-09,863,0,1188,0,0
2019-10,1291,0,1875,0,0
2019-11,952,0,700,0,0
2019-12,1245,0,732,0,0
2020-01,982,0,1778,0,0
2020-02,718,0,794,0,0
2020-03,2314,0,1417,0,0
2020-04,1267,0,959,0,0
2020-05,3742,0,817,0,0
2020-06,2318,0,762,0,0
2020-07,1389,0,720,0,0
2020-08,2122,0,1117,0,0
2020-09,1401,0,964,0,0
2020-10,1261,873,846,0,0
2020-11,1800,532,1230,0,0
2020-12,1552,709,1420,0,0
2021-01,1758,394,946,0,0
2021-02,1640,754,1717,0,0
2021-03,1757,1058,1314,0,0
2021-04,1324,825,1244,0,0
2021-05,1941,982,958,0,0
2021-06,1308,654,876,0,0
2021-07,1309,790,996,0,0
2021-08,1776,969,980,0,0
2021-09,1504,672,905,0,0
2021-10,1305,462,669,0,0
2021-11,1366,486,671,0,317
2021-12,1659,635,824,0,1758
2022-01,1701,997,768,0,715
2022-02,67,32,33,0,184
